lat_deg,lon_deg,access_fraction,max_gap_s,num_complete_passes,longest_pass_s,peak_elevation_deg
60.0,337.5,0.8042095191482146,8596.601896515145,27,36958.8167686075,54.72313718354737
60.0,340.0,0.805807035361011,8525.079625349994,27,36775.18072170156,53.58949161662741
60.0,342.5,0.8072334695572845,8460.599756588403,27,36581.2796775496,52.47188095706733
60.0,345.0,0.8084784074687218,8403.77504246834,27,36377.48062829084,51.37087999309555
60.0,347.5,0.8095319181268634,8354.816805118106,27,36163.273810811355,50.287051686912015
60.0,350.0,0.810386929904672,8314.143982461559,27,35939.10538105864,49.22094815074858
60.0,352.5,0.8110369005332224,8282.291969102153,27,35704.91082368021,48.17311143271135
60.0,355.0,0.8114751328221561,8259.42210724533,27,35460.687261812476,47.1440741458822
60.0,357.5,0.8116983398246919,8245.896804436736,27,35206.29228032906,46.13435996607885
62.5,0.0,0.8153137746123963,8067.5844262149185,27,35309.61387492344,47.99211540492491
62.5,2.5,0.8151455210271021,8078.338050667662,27,35536.09619362955,48.96411244182443
62.5,5.0,0.8148054214026006,8096.479003835237,27,35754.66808852763,49.95503158933418
62.5,7.5,0.8142964025924881,8121.796848176746,27,35965.182806493016,50.964393821646794
62.5,10.0,0.8136217665603034,8154.144485981902,27,36167.11731377593,51.991714096676624
62.5,12.5,0.8127865710710322,8193.28823569999,27,36361.08354642987,53.03650140595199
62.5,15.0,0.8117988118929006,8238.960018840153,27,36545.93992932979,54.09825880179846
62.5,17.5,0.8106626724353694,8290.639179194346,27,36722.78940141364,55.17648340175938
62.5,20.0,0.8093915080792039,8347.913744715974,27,36891.17438046145,56.270666369584525
62.5,22.5,0.8079918567074803,8410.214883578941,27,37051.1507698535,57.38029287124335
62.5,25.0,0.8064761660977774,8477.33814233006,27,37202.87034643232,58.50484200318624
62.5,27.5,0.8048563949777942,8548.326803120086,27,37346.709995986894,59.643786688358816
62.5,30.0,0.8031430846358367,8622.810735374456,27,37482.701612067875,60.79659353306019
62.5,32.5,0.8013527756420133,8700.030549334362,27,37610.82773696957,61.962722634335854
62.5,35.0,0.7994950551466277,8779.76224324992,27,37731.374829578446,63.14162732274862
62.5,37.5,0.7975873153563324,8861.040458773728,27,37844.62282706052,64.33275381837555
62.5,40.0,0.7956441562217061,8943.31974934158,27,37950.77112972364,65.53554076763042
62.5,42.5,0.7936777029943323,9026.049388514133,27,38049.89326112834,66.74941861322829
62.5,45.0,0.7917047329316733,9108.45333919744,27,38142.43032697099,67.97380872638742
62.5,47.5,0.7897406409794744,9189.792797645787,27,38228.47259986866,69.20812219431757
62.5,50.0,0.7878003799258015,9269.661134703318,27,38308.24487014767,70.4517580987692
62.5,52.5,0.7858975310024459,9347.465557389194,27,38381.81249346258,71.70410102806153
62.5,55.0,0.7840472472874025,9422.231158404844,27,38449.66903025005,72.9645174084751
62.5,57.5,0.7822633111534066,9494.184029425029,27,38511.51951849065,74.23234997021615
62.5,60.0,0.7805582542388133,9561.902856085682,27,38568.24265503511,75.50690932711699
62.5,62.5,0.7789464077089325,9625.46378518641,27,38619.07820293354,76.78745969397914
62.5,65.0,0.7774386296528769,9684.072155815316,27,38664.91699629277,78.07319726100482
62.5,67.5,0.7760472734126752,9737.333121773088,27,38705.885408128845,79.36321125344769
62.5,70.0,0.7747816991084817,9784.943357207114,27,38741.29937223252,80.65641974813641
62.5,72.5,0.7736521858368907,9826.532765854849,27,38772.10101823206,81.95154172960298
62.5,75.0,0.772667202857727,9861.683068282902,27,38798.24097747216,83.2611596811507
62.5,77.5,0.7718334646598465,9890.101124770008,27,38819.41513130069,84.58809485486718
62.5,80.0,0.7711577269338231,9911.485582433641,27,38836.01895355433,85.91702313557442
62.5,82.5,0.7706449198807256,9925.769735177746,27,38848.053080006735,87.244442984756
62.5,85.0,0.7702991951768181,9932.825379015412,27,38855.51866460056,88.56031589121304
62.5,87.5,0.7701227266726818,9933.556185034919,27,38858.41670606611,89.86916528720805
62.5,90.0,0.7701170535123714,9933.560534569784,27,38858.48919760139,89.9587388740599
62.5,92.5,0.7702820535803232,9932.977237668194,27,38855.895931354986,88.61585872176113
62.5,95.0,0.7706166407245979,9926.425212169368,27,38848.76714316456,87.28048105051661
62.5,97.5,0.771118332098997,9912.56516609219,27,38837.11704466997,85.95631096172602
62.5,100.0,0.771783367269283,9891.701387044792,27,38820.85234648587,84.64147411460495
62.5,102.5,0.7726063740051042,9863.743334422466,27,38799.80238316154,83.33615237869873
62.5,105.0,0.7735814829116836,9829.16635222911,27,38773.962646042986,82.03831660308902
62.5,107.5,0.7747018378934974,9788.043147587337,27,38743.49938325386,80.74310416802963
62.5,110.0,0.7759583088114216,9740.697589955718,27,38708.32297906738,79.44972618761817
62.5,112.5,0.7773417719624168,9687.812446777029,27,38667.87640893871,78.15946190603064
62.5,115.0,0.7788420999771075,9629.540132547303,27,38622.372464448854,76.87340802592541
